Doctor Name,Specialization,Doctor Info,Hospital/Chamber,Address,Appointment Days ,Fees,
Asst. Prof. Dr. A . R Chowdhury,"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Former Assistant Professor (Dermatology), Govt. Medical Colleges, Bangladesh. MBBS (Dhaka), DDV (BSMMU), MAMS (Vienna). Specialist in Skin Diseases & Aesthetic Medicine. Higher training in Aesthetic Medicine (China & Singapore).","Popular Diagnostic Center Ltd., Uttara Branch (Unit 2)","H# 25, R# 7, Sector-4, Uttara, Dhaka","Thu, Fri, Sat",New: 1000 TK. Returning: 500 TK. Follow-up/Report: 500 TK.,
Prof. Dr. Md. Shahidullah Sikder,"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Professor & Chairmen, Dept. of Dermatology, BSMMU (Pro-vice Chancellor). MBBS, DCM, MD (Derma), FICMCH (India) DV, DD (Thai), FRCP (GLASGOW). Specialist in Dermatology (Skin & VD).","Lab Science Diagnostics Ltd., Main Branch","153/1, Green Road, Dhaka","Thu, Fri, Sat",New Patient: 1000 TK.,
,,,,,,,
Prof. Dr. Md. Sirajul Haque,"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Professor & Head, Dept. of Dermatology, Bangladesh Medical College. MBBS, DDSC (Wales, UK). Specialist in Skin, Allergy, VD and Cosmetic Consultant. Special training on Face uplift & scar removal.","Rainbow Heart Ltd., Main Branch","68, Satmosjid Road (Near Shankor Bus Stand), Dhanmondi, Dhaka","Thu, Fri, Sat",New Patient: 800 TK.,
Prof. Dr. Md. Shahidullah Sikder,"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Professor & Chairmen, Dept. of Dermatology, BSMMU (Pro-vice Chancellor). MBBS, DCM, MD (Derma), FICMCH (India) DV, DD (Thai), FRCP (GLASGOW). Specialist in Dermatology (Skin & VD).","Lab Science Diagnostics Ltd., Main Branch","153/1, Green Road, Dhaka","Thu, Fri, Sat",New Patient: 1000 TK.,
Prof. Dr. Md. Shahid Ullah,"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Professor & Ex. Head, Dept. of Dermatology, Dhaka Medical College & Hospital. MBBS, DDV (DU), DD (Thailand). Specialist in Skin & V. D.","Popular Diagnostic Center Ltd., Shyamoli Br.","H# (22/7)29, Blk# B, Bir Uttam A.N.M Nuruzzaman Sorak (Babor Road), Shyamoli, Dhaka","Thu, Fri, Sat",New Patient: 1000 TK.,
,,,,,,,
Prof. Dr. Md. Shahid Ullah,"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Professor & Ex. Head, Dept. of Dermatology, Dhaka Medical College & Hospital. MBBS, DDV (DU), DD (Thailand). Specialist in Skin & V. D.","Dhaka Central International Medical College & Hospital, Main Br.","2/1, Ring Road, Shyamoli, Dhaka",(Not specified in text),New Patient: 500 TK.,
,,,,,,,
Asst. Prof. Dr. A . R Chowdhury,"Dermatology (Skin, Venereology, Sexual, Hair, Allergy)","Former Assistant Professor (Dermatology), Govt. Medical Colleges, Bangladesh. MBBS (Dhaka), DDV (BSMMU), MAMS (Vienna). Specialist in Skin Diseases & Aesthetic Medicine. Higher training in Aesthetic Medicine (China & Singapore).","Dr. A. R. Chowdhury, Sultan Market","1st Floor, Sultan Market, Tongi Bazar Bus Stand, Mymensingh Hwy, Tongi, Dhaka",(Not specified in text),New: 1000 TK. Returning: 800 TK. Follow-up/Report: 500 TK.,
Prof. Dr. Manzoor Kader,"Cardiology (Heart, Cardiac Surgery, Cardiovascular, Hypertension, Blood Pressure)","Professor & Senior Consultant. MBBS, D.Card (NICUD), MCPS - BCPS (Dhaka). Cardiologist, Rheumatic Fever, Rheumatology and Medicine Specialist. MPH (DCM), Fellow Consultant, WHO (Card), Delhi, Fellow Consultant, WHO (Paediatric Card), Bangkok.",Holy Lab Diagnostic Complex,"House 20, Road 10, Shayesta Khan Avenue, Sector 4, Uttara, Dhaka","Thu, Fri, Sat",New: 1000 TK. Returning: 500 TK.,
,,,,,,,
Prof. Dr. Manzoor Kader,"Cardiology (Heart, Cardiac Surgery, Cardiovascular, Hypertension, Blood Pressure)","Professor & Senior Consultant. MBBS, D.Card (NICUD), MCPS - BCPS (Dhaka). Cardiologist, Rheumatic Fever, Rheumatology and Medicine Specialist. MPH (DCM), Fellow Consultant, WHO (Card), Delhi, Fellow Consultant, WHO (Paediatric Card), Bangkok.",Advance Digital Diagnostic,"3/19 (Opposite Shaheed Suhrawardy Medical College and Hospital), Mohammadpur, Dhaka",(Not Specified),(Not Specified),
Assoc. Prof. Dr. Md. Zulfikar Ali,"Cardiology (Heart, Cardiac Surgery, Cardiovascular, Hypertension, Blood Pressure)","Associate Professor, Dept. of Cardiology, National Institute of Cardiovascular Disease. MBBS, D-Card. Specialist in Medicine, Rheumatic Fever and Heart diseases for Expatriates.",Victoria Health Care,"22/2 Babar Road, Mohammadpur, Dhaka","Thu, Fri, Sat",New: 500 TK. Returning: 400 TK. Follow-up/Report: 400 TK.,
Prof. Dr. Mohammad Safiuddin,"Cardiology (Heart, Cardiac Surgery, Cardiovascular, Hypertension, Blood Pressure)","Professor, Dept. of Interventional Cardiology, BSMMU. MBBS (Dhaka), MD (Cardiology), DTCD (DU), FACC (USA), FCCP (USA), FESC. Clinical and Interventional Cardiology (Coronary Angiogram, Angioplasty, Stenting).","Popular Diagnostic Center Ltd., Dhanmondi Br.","H# 16, Rd# 2, 2nd Floor, Dhanmondi, Dhaka","Thu, Fri, Sat",New: 1000 TK. Returning: 800 TK. Follow-up/Report: 300 TK.,
,,,,,,,
Prof. Dr. A. B. M. Abdus Salam,Paediatrics (Child or Infant any disease),"Professor & Head, Dept. of Paediatrics Cardiology, National Cardiovascular Diseases (RIDROG Hospital). MBBS, FCPS (Paediatrics), MD (Paediatrics). Interventional Paediatrics Cardiologist.","Fair Lab Limited, Main Branch","20/5, Block B, Babor Road, Mohammadpur, Dhaka","Thu, Fri, Sat",New Patient: 1000 TK.,
